,Name,Description,geometry,within
196,Traffic light,,POINT Z (103.8399728 1.4243518 0),YISHUN SOUTH
197,Traffic light,,POINT Z (103.8408747 1.4270256 0),YISHUN SOUTH
198,Traffic light,,POINT Z (103.767863 1.3634687 0),DAIRY FARM
199,Traffic light,,POINT Z (103.775314 1.3671312 0),DAIRY FARM
200,Traffic light,,POINT Z (103.7754626 1.364911 0),DAIRY FARM
201,Traffic light,,POINT Z (103.8680624 1.3283272 0),POTONG PASIR
202,Traffic light,,POINT Z (103.7514197 1.3654309 0),GOMBAK
203,Traffic light,,POINT Z (103.7486262 1.3691697 0),GOMBAK
204,Traffic light,,POINT Z (103.7464136 1.3711136 0),KEAT HONG
205,Traffic light,,POINT Z (103.7413589 1.3728136 0),PENG SIANG
206,Traffic light,,POINT Z (103.7371813 1.377179 0),PENG SIANG
207,Traffic light,,POINT Z (103.7392143 1.3785586 0),KEAT HONG
208,Traffic light,,POINT Z (103.7392573 1.3787074 0),KEAT HONG
209,Traffic light,,POINT Z (103.742621 1.383711 0),CENTRAL
210,Traffic light,,POINT Z (103.7435326 1.3839293 0),CENTRAL
211,Traffic light,,POINT Z (103.7463931 1.3848705 0),CENTRAL
212,Steps (with wheeling ramp),,POINT Z (103.877104 1.3832865 0),TRAFALGAR
213,Ramp,,POINT Z (103.7711509 1.4426763 0),NORTH COAST
214,Traffic light,,POINT Z (103.771116 1.4410728 0),WOODLANDS WEST
215,Traffic light,,POINT Z (103.7711121 1.4412416 0),NORTH COAST
216,Traffic light,,POINT Z (103.7710354 1.4398568 0),NORTH COAST
217,Traffic light,,POINT Z (103.7709389 1.439767 0),NORTH COAST
