,PLANNING_A,PLANNING_1,geometry,within
133,,PASIR RIS,"LINESTRING (103.9611169018657 1.364256449511852, 103.96129701546809 1.3644365933238303)",PASIR RIS DRIVE
134,,PASIR RIS,"LINESTRING (103.95950137462734 1.3680501281595865, 103.9595240322079 1.3680367731499279)",PASIR RIS DRIVE
135,,PASIR RIS,"LINESTRING (103.95838977743288 1.3686232547744759, 103.95855969458002 1.3685497392997126)",PASIR RIS DRIVE
136,,PASIR RIS,"LINESTRING (103.95689809070282 1.369826218374782, 103.95689500046758 1.3698601502038368, 103.95687696321264 1.3699421279531783)",PASIR RIS DRIVE
137,,PASIR RIS,"LINESTRING (103.96015100251697 1.3676132886243977, 103.96017609852552 1.3675946827533503)",PASIR RIS DRIVE
138,,PASIR RIS,"LINESTRING (103.96474402452654 1.3675314249560295, 103.9646190962236 1.3674061867530842, 103.96458766138193 1.3673846872781936, 103.96456173114117 1.3673627913895239, 103.96455481095886 1.3673569486878054)",PASIR RIS DRIVE
139,,TAMPINES,"LINESTRING (103.94534525196299 1.3519675580329553, 103.94547125407492 1.3520536004804158, 103.94558363658808 1.35213742515258, 103.94572819155096 1.3522673762423874)",TAMPINES EAST
140,,YISHUN,"LINESTRING (103.83568750191552 1.4349557764437064, 103.83528637788973 1.4348204433055294, 103.83521465649879 1.434796808722898, 103.83515975411485 1.4347738126053904, 103.83512218385697 1.4347795264056378, 103.83490475254249 1.4347093596934413, 103.8348649905959 1.4346915428496805, 103.83484195420165 1.4346757119770337, 103.83483592013614 1.4346765304302616, 103.83481797968673 1.4346789631806196)",NORTHLAND
141,,YISHUN,"LINESTRING (103.83629974223771 1.424810350169026, 103.83645314613445 1.4248046244375354, 103.83651293390216 1.4248037606878015, 103.83659091456055 1.4248116249263119, 103.83668318284191 1.4248343659268095, 103.83671497681608 1.42484678189151, 103.83680682369638 1.4248933157964403, 103.83685399980737 1.424938448002797, 103.83689640979047 1.42498268218228, 103.83696006612254 1.4250613047631224, 103.83698871328625 1.425106635051588, 103.8370054909357 1.4251382126975582, 103.83707682853762 1.4252803225098074, 103.83711884411736 1.4253660669866508, 103.8372274599331 1.425585843499749)",YISHUN CENTRAL
142,,YISHUN,"LINESTRING (103.83707712164832 1.4320468025293855, 103.83707540713277 1.4320479827269659, 103.83705327029256 1.432063224006398, 103.83699394790004 1.4321213484684712, 103.83696470590783 1.4321574226830012, 103.83692773602866 1.4322085048266608, 103.83691691519078 1.432229485179542)",NORTHLAND
143,,ANG MO KIO,"LINESTRING (103.83691911995932 1.3662924698396723, 103.83689836572064 1.366299618870642, 103.83686995206556 1.3662974023159793, 103.8368239740794 1.3662938156747757, 103.83592379602801 1.3666031781475074, 103.83590128958697 1.3666227015885677, 103.83588859102896 1.3666430145289834, 103.83588000073028 1.3666645284607337, 103.83587722685454 1.366671474885967, 103.83587654753802 1.3666731759959492)",SHANGRI-LA
144,,ANG MO KIO,"LINESTRING (103.84575847046331 1.3642294568122493, 103.84604268462958 1.3641764215867827)",TOWNSVILLE
145,,ANG MO KIO,"LINESTRING (103.84210193773241 1.3645678146998175, 103.84210072197118 1.3645683166264788, 103.84181084934485 1.36461024852356, 103.8417422831977 1.3646143075527861, 103.8414368168331 1.3646652695371047)",SHANGRI-LA
146,,TAMPINES,"LINESTRING (103.95465521152897 1.3433313104707822, 103.95482768272905 1.3434783249541449, 103.95483216492305 1.343482042563854, 103.95510948407839 1.3437120622986984, 103.95519535317061 1.343787186993924)",SIMEI
147,,ANG MO KIO,"LINESTRING (103.84050026043101 1.3649388192213419, 103.84045532216916 1.3649555537130131, 103.84043082187871 1.364982652158283, 103.84025997811793 1.365045445387195, 103.84021274755766 1.3650458886621306, 103.83996227990933 1.3651391618882343, 103.83994747426102 1.365163577957093, 103.83995169397572 1.365176908275428, 103.83995804421512 1.3651969706758196, 103.83994453514687 1.3652015820668826)",SHANGRI-LA
148,,ANG MO KIO,"LINESTRING (103.84796692011626 1.363603555487763, 103.84797905523507 1.3635965583468692, 103.84799245367037 1.3635779781001605, 103.84800534072515 1.3635436890485564, 103.84801872115574 1.3635196871377953, 103.84808774349261 1.3634762428606355, 103.84812193032671 1.3634626527671565, 103.84816128753843 1.363451999112033, 103.84817559275047 1.363453644062004, 103.84818294486517 1.363458807032205)",TOWNSVILLE
149,,BEDOK,"LINESTRING (103.91422040647548 1.31966497295619, 103.9141660646127 1.3196870195047425, 103.91411606679674 1.319806612393615, 103.9140932228893 1.3198889066244404, 103.91409163643152 1.3199007990596745, 103.91408125169079 1.319978653361581, 103.91406401025289 1.319977510809102, 103.91396172440814 1.3208091082734101, 103.91400632136208 1.3208662092486079, 103.91396172440814 1.3208091082734101, 103.91406401025289 1.319977510809102, 103.91408125169079 1.319978653361581, 103.91409073439833 1.3199042781765187, 103.91409163643152 1.3199007990596745, 103.91411606679674 1.319806612393615, 103.9141660646127 1.3196870195047425, 103.91422040647548 1.31966497295619)",KEMBANGAN
150,,JURONG EAST,"LINESTRING (103.73270493441974 1.3480810874309221, 103.73275919118396 1.348062648819684, 103.73280978442841 1.3480463108903502, 103.73284483343292 1.3480308034241038)",BOON LAY
151,,JURONG EAST,"LINESTRING (103.732458766168 1.3452250480192793, 103.73239215759527 1.3452718469402278, 103.73228484044796 1.3453893689714618, 103.73218157166016 1.3454982201330041, 103.73210731485646 1.3456243494526727, 103.73201683060722 1.3457587548217205, 103.73196714687242 1.3458591813562324)",BOON LAY
152,,JURONG EAST,"LINESTRING (103.7302998985641 1.3454890330554141, 103.73028660152586 1.345449745152863, 103.73027451290722 1.3453710569188304, 103.7302704176558 1.3451477432934391)",BOON LAY
153,,JURONG EAST,"LINESTRING (103.73026940150602 1.34467360200634, 103.7302702045587 1.345001117102175)",BOON LAY
154,,JURONG EAST,"LINESTRING (103.73007411079868 1.3440000268510597, 103.73002249065443 1.3440144130697482, 103.72981588918312 1.3440620669097825, 103.72957246653806 1.3441097282012506, 103.72936385016132 1.3441437332691832, 103.72924541683456 1.344155610617631, 103.72907959430982 1.344169214162507, 103.72903219430776 1.344171461276491, 103.72880237537399 1.3441876322504438)",JURONG LAKE
155,,JURONG EAST,"LINESTRING (103.72867024489477 1.3441880072922463, 103.72854340155651 1.3441879846354774)",JURONG LAKE
156,,JURONG EAST,"LINESTRING (103.73036553161386 1.3439132267131135, 103.73021578125048 1.3439574663160865, 103.73015538554522 1.3439773769185017, 103.73009975149016 1.3439928816653142)",JURONG LAKE
157,,JURONG EAST,"LINESTRING (103.73103417192331 1.3435716463195744, 103.73093564570964 1.3436601856374848, 103.73065386220772 1.3438062898607706, 103.7305431354404 1.3438492668357822)",JURONG LAKE
158,,JURONG EAST,"LINESTRING (103.73103417192331 1.3435716463195744, 103.73112393359816 1.3435259978539065, 103.73139084562027 1.3434297278724445, 103.73142314811032 1.3434035605793049)",JURONG LAKE
159,,JURONG EAST,"LINESTRING (103.73172640049326 1.343199591487348, 103.73154073942467 1.3433271142768848, 103.73150045426128 1.3433285785603488, 103.73145191563805 1.3433564209582627, 103.73142443398787 1.3434026110520692)",JURONG LAKE
160,,JURONG WEST,"LINESTRING (103.7220495995004 1.3494246539996202, 103.72233160950739 1.3493410740049543)",HONG KAH
161,,JURONG WEST,"LINESTRING (103.72251034022597 1.3492875077561801, 103.72260044107054 1.3492603791936848)",HONG KAH
162,,TAMPINES,"LINESTRING (103.95380174445287 1.361971893623499, 103.95380134819467 1.361972078133353, 103.95371328362005 1.3620129452690908, 103.9536208301737 1.3620482715942224, 103.9535483576179 1.3620733586270477, 103.95354151063881 1.3620751740259511)",TAMPINES EAST
163,,TAMPINES,"LINESTRING (103.95515691880883 1.3607229902795326, 103.95511336302935 1.3607659804501522)",TAMPINES EAST
164,,TAMPINES,"LINESTRING (103.94207583667946 1.347337724565438, 103.94222235629917 1.3469814379185698, 103.94234911402285 1.3466897987218343, 103.94239582125988 1.3465298410640032, 103.94241807369532 1.346419636218278, 103.94244142961632 1.3463915275702882)",TAMPINES WEST
165,,TAMPINES,"LINESTRING (103.94924132486307 1.35944739089125, 103.94924133151632 1.3595869041813557)",TAMPINES EAST
166,,TAMPINES,"LINESTRING (103.94865697483317 1.3589181327393183, 103.94881720240264 1.3589190601472043)",TAMPINES EAST
167,,TAMPINES,"LINESTRING (103.93789209165227 1.355642460946762, 103.93771488241049 1.3556443424803093, 103.93722621105434 1.3556416424007385, 103.93673943580784 1.3556424049459521, 103.93624031791674 1.3556439601425039, 103.93619895343782 1.3556439619111436, 103.93619823985507 1.3556197503373344)",TAMPINES WEST
168,,YISHUN,"LINESTRING (103.83156005258178 1.4212727494221333, 103.83156825948848 1.4223436048966178)",KHATIB
169,,YISHUN,"LINESTRING (103.83726905878257 1.4151704409042114, 103.83720967477707 1.4152005680806292)",YISHUN SOUTH
170,,YISHUN,"LINESTRING (103.83717611615411 1.4152172039114221, 103.83708625747198 1.4152624222562527)",YISHUN SOUTH
171,,YISHUN,"LINESTRING (103.83703036810638 1.4153162437574403, 103.8370125104795 1.415318915277088, 103.83698631846886 1.4153319291157667, 103.8369142625819 1.4153677311882877)",YISHUN SOUTH
172,,YISHUN,"LINESTRING (103.8371489449432 1.4175855775292021, 103.83727758515711 1.4176370491846229)",YISHUN SOUTH
173,,BEDOK,"LINESTRING (103.9292530559685 1.3263823366723173, 103.92959362780215 1.3265093809868747)",BEDOK NORTH
174,,BEDOK,"LINESTRING (103.91991851110379 1.3279207205806995, 103.91980787337734 1.3278783306271382)",KEMBANGAN
175,,BEDOK,"LINESTRING (103.91488136700104 1.3212307494239908, 103.91478939622635 1.3212179312954755)",KEMBANGAN
176,,ROCHOR,"MULTILINESTRING ((103.84902952211313 1.2972667931848783, 103.84903091109774 1.2972401107974874), (103.85158675066269 1.3002942934287396, 103.85158183834295 1.3002979371500665, 103.85156178651778 1.300312809574242))",place
177,,ROCHOR,"LINESTRING (103.8493705291122 1.297641180871322, 103.84938393998239 1.297656857949259)",BRAS BASAH
178,,ROCHOR,"LINESTRING (103.8497411648498 1.2980216483602767, 103.84976080455792 1.2980566453402018, 103.849797666758 1.298105986336941)",BRAS BASAH
179,,ROCHOR,"LINESTRING (103.84990796934284 1.2982411121794646, 103.85004961345992 1.2984206602062727, 103.85011922742076 1.2984404743743376)",BRAS BASAH
180,,BEDOK,"LINESTRING (103.92291070355922 1.3243412013351543, 103.92289590436368 1.3242651467104103, 103.9228846654202 1.3241942703415543, 103.92287725461695 1.3241068729206735, 103.92287552540613 1.3240958424617124)",KEMBANGAN
181,,BEDOK,"LINESTRING (103.92287552540613 1.3240958424617124, 103.92287619573355 1.3240209150155569, 103.92288390443676 1.3239463870422226, 103.92289858235061 1.3238729268688523, 103.92292009830949 1.3238011937811287)",KEMBANGAN
182,,BEDOK,"LINESTRING (103.92315338211284 1.324695193835771, 103.92312567585508 1.3245625093455538)",KEMBANGAN
183,,BEDOK,"LINESTRING (103.9259793092059 1.3312480557644961, 103.92585677045145 1.3312209548150418, 103.92576487816441 1.3312032092471087)",BEDOK NORTH
184,,BEDOK,"LINESTRING (103.92565844207105 1.3327844383838015, 103.92569326672886 1.332790824588468, 103.92579662192016 1.3328318968707376, 103.92583728575774 1.3328480563077076, 103.9260501217828 1.3329109024126862)",BEDOK NORTH
185,,BEDOK,"LINESTRING (103.94175266424391 1.3210075443866758, 103.94125078849993 1.3209443966131076, 103.94098214109748 1.3209755148100215, 103.94054469114955 1.3208630717730214, 103.9402308699286 1.320829586864441, 103.93997648293191 1.3207649919728603, 103.93976964680013 1.320753037076002, 103.9396450783227 1.3206337515237758)",BEDOK SOUTH
186,,BEDOK,"LINESTRING (103.94583491609045 1.321102726842361, 103.9459165342783 1.321085515809446, 103.94617070850835 1.321011882737681, 103.94633788541748 1.3209266922485328, 103.94643490661566 1.320871163543546, 103.94658844266503 1.320747539145716, 103.94668018905647 1.3206655182679479, 103.94677519492411 1.3205535492610745, 103.94686424817506 1.3204479481437326, 103.9469450428965 1.3203039807132295, 103.94701792354329 1.3201680760398136, 103.94714781625478 1.3198729592748848)",BEDOK SOUTH
187,,BEDOK,"LINESTRING (103.93474211437506 1.3301449581922844, 103.93544782281307 1.3302763771866195)",BEDOK NORTH
188,,BEDOK,"LINESTRING (103.93765874326608 1.327288732422589, 103.93761031780231 1.3273165662520752, 103.937541221526 1.3274185162263996, 103.93750288837282 1.327590994364594, 103.93747535376444 1.3276282742831165)",BEDOK NORTH
189,,BEDOK,"LINESTRING (103.93727250085576 1.3227137358119787, 103.93726680397542 1.3226690252427025, 103.93736233199769 1.3218993023706367)",BEDOK SOUTH
190,,BEDOK,"LINESTRING (103.93093271157778 1.3308726124087953, 103.93098777715197 1.3309041598320746)",BEDOK NORTH
191,,BEDOK,"LINESTRING (103.92654154137931 1.3330658355548812, 103.92661302681903 1.3330882791294212)",BEDOK NORTH
192,,BEDOK,"LINESTRING (103.92728186721152 1.3332908996608392, 103.9275658805307 1.3333755905034173)",BEDOK NORTH
193,,HOUGANG,"LINESTRING (103.89251590838452 1.3732277499700611, 103.89255794367132 1.3732694789801163, 103.89259877878858 1.3733606821439355, 103.89260377261769 1.373416194580844, 103.89262018103209 1.3735824940079977, 103.89262327599214 1.373739701293826, 103.89262807879203 1.3739193521324167)",TRAFALGAR
194,,HOUGANG,"LINESTRING (103.89262330001856 1.373985322875619, 103.89263060090119 1.3744221530018472)",TRAFALGAR
195,,HOUGANG,"LINESTRING (103.89268088368186 1.3781143650720586, 103.89267802612197 1.377928875619381, 103.89267659645259 1.3778183280405742, 103.89267145709485 1.3776560961668962, 103.8926654385474 1.3774418995743958)",TRAFALGAR
196,,NOVENA,"LINESTRING (103.82659985224572 1.3233994348388185, 103.82643152802638 1.3230803835762843)",MALCOLM
197,,YISHUN,"LINESTRING (103.8319333429764 1.4198103263379576, 103.83196286796125 1.4197499700133187)",KHATIB
198,,YISHUN,"LINESTRING (103.83219312050919 1.4347045080388665, 103.83219020995837 1.434707089996019, 103.83206161374741 1.4348211826539108, 103.83200995348533 1.434868307212416, 103.83192246082112 1.4349455199308132)",YISHUN WEST
199,,YISHUN,"LINESTRING (103.83906077385748 1.434387766688719, 103.8392167363456 1.4342502170811233)",NORTHLAND
200,,ANG MO KIO,"LINESTRING (103.84140529507587 1.3646722947457652, 103.84133346626383 1.3646883420276843, 103.84105295767469 1.3647564560529932, 103.84103484264634 1.3647916566837541, 103.84103836058239 1.3648043629910647, 103.84102431597195 1.3648090820093068)",SHANGRI-LA
201,,ANG MO KIO,"LINESTRING (103.83927910488366 1.3696842617173328, 103.8394671926643 1.3696619795131324)",SHANGRI-LA
202,,TAMPINES,"LINESTRING (103.95507813000377 1.3432266211094404, 103.95505789113457 1.3432500885204177, 103.95503403807001 1.3432878251428664, 103.95502234868452 1.343305230183721, 103.95502187517903 1.3433059347057852)",SIMEI
203,,ANG MO KIO,"LINESTRING (103.84432974848043 1.364373604106679, 103.84443873399805 1.3643656587624666, 103.84447653677518 1.3643674302362547, 103.84451107059682 1.3643770036756624, 103.84456281745585 1.364400024026705, 103.84458773838169 1.3644068798953746, 103.84461249124888 1.364408050026145, 103.84479868081856 1.3643915616747728)",TOWNSVILLE
204,,ANG MO KIO,"LINESTRING (103.8495801878401 1.3627060494210228, 103.84947088031767 1.3627871960563787, 103.8489056212152 1.363096853234357, 103.84888888145832 1.363184389477336, 103.84884620146155 1.363212427760906)",TOWNSVILLE
205,,ANG MO KIO,"LINESTRING (103.84534944696584 1.364286218615463, 103.84543710673832 1.364274966072589)",TOWNSVILLE
206,,BUKIT PANJANG,"LINESTRING (103.7723652769848 1.3786797293645465, 103.77227056593341 1.3783482758156789, 103.77211717516619 1.3780611725514227, 103.77201873116046 1.377918680266996, 103.77194106028242 1.377814810273953, 103.77183203985099 1.3777519342711482)",BANGKIT
207,,BUKIT PANJANG,"LINESTRING (103.77241469654096 1.3794639586660926, 103.77240860197635 1.379551890695943, 103.7723314693472 1.3797274926238938)",BANGKIT
208,,PASIR RIS,"LINESTRING (103.95635904096555 1.372528362008039, 103.9563798016363 1.3724780838228408, 103.95663794418165 1.3718945099584667)",PASIR RIS DRIVE
209,,PASIR RIS,"LINESTRING (103.94218439683078 1.3743102734185046, 103.94220907396867 1.3742837807927308, 103.94245495375802 1.3741733441148292, 103.9424887445103 1.3741736636100277, 103.94260003400721 1.3741288979675053, 103.9426129830731 1.3741238139492704)",place
210,,PASIR RIS,"LINESTRING (103.96051065679573 1.363818565291501, 103.960558707896 1.363824063066327, 103.96061234844515 1.3638365820100093, 103.96065549294184 1.3638509174702587, 103.9606915028675 1.3638660491482244, 103.96072158408191 1.3638816803492642, 103.96075192877258 1.3639010402207024, 103.96078721603718 1.3639291594794545)",PASIR RIS DRIVE
211,,PASIR RIS,"LINESTRING (103.9508348621687 1.3725323964502862, 103.95088080118136 1.3725804067759648, 103.95088983072596 1.3725951184960958, 103.95091270440014 1.3726623431399132, 103.95101321901556 1.3727671202993048)",PASIR RIS TOWN
212,,PASIR RIS,"LINESTRING (103.93433907675175 1.3803353713677577, 103.93433793638977 1.3803336413704623, 103.93431949026989 1.3803072284346087, 103.9342727603304 1.380251431246406, 103.93426275362647 1.3802467678748245)",PASIR RIS WEST
213,,PASIR RIS,"LINESTRING (103.94127591894663 1.3778920521290858, 103.94126460498606 1.3777912596229944, 103.94124386848414 1.3777676883566734, 103.94121525757521 1.37751939328686)",ELIAS
214,,PASIR RIS,"LINESTRING (103.9595240322079 1.3680367731499279, 103.95953324678291 1.3680322806957372, 103.95954304730282 1.3680292984951934, 103.95955319115814 1.368027898005748, 103.9595634276505 1.368028116319501, 103.9595735033835 1.3680299462149796, 103.95958317035021 1.368033343391546, 103.95959218773021 1.3680382237563056)",PASIR RIS DRIVE
215,,PASIR RIS,"LINESTRING (103.94068649256813 1.3753777509289777, 103.94081700829605 1.375279778125619)",ELIAS
216,,PASIR RIS,"LINESTRING (103.9391151881595 1.3765498918557344, 103.93915403652522 1.3765189102731508)",ELIAS
217,,PASIR RIS,"LINESTRING (103.96044448774164 1.3719382379981984, 103.96044408580848 1.371933067781948, 103.96043773940504 1.371851510039906, 103.96043344421795 1.3717147490251467, 103.96043544754588 1.3715864253713677, 103.96044559219082 1.3714294167273076, 103.9604652001206 1.3712640666463491, 103.96046594829531 1.3712577550636957)",PASIR RIS DRIVE
218,,PASIR RIS,"LINESTRING (103.95432087771121 1.369404399692828, 103.95430902381158 1.3694046372377724, 103.95427520194895 1.3693915790597138, 103.95426076994192 1.3693895160377005, 103.95390581395178 1.3693897411292646, 103.9538493692173 1.3694022359417166)",place
219,,PASIR RIS,"LINESTRING (103.96426733002191 1.3636929167400875, 103.9642625210635 1.363695976459823, 103.96420691164022 1.3637313536210298, 103.9641828885646 1.3637494629748321, 103.96415613679794 1.3637722679249842, 103.96409772421427 1.3638311170476847)",PASIR RIS DRIVE
